Id,Label,timeset,gender,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
Eve,Eve,,f,13,45,2,0.610169,0.680556,48.37987,0.310117,0.310117,2,0.058689,0,0.512821,40,0.77898
Q,Q,,m,6,12,3,0.521739,0.569444,35,0.169676,0.169677,2,0.031034,0,0.666667,10,0.428052
M,M,,f,16,79,3,0.62069,0.712963,76.58658,0.339456,0.339456,2,0.072231,0,0.391667,47,0.851196
Ronson,Ronson,,m,3,3,3,0.493151,0.523148,0,0.106184,0.106184,2,0.016327,0,1,3,0.27026
Tanner,Tanner,,m,12,46,3,0.580645,0.657407,22.154762,0.298874,0.298874,2,0.052902,0,0.575758,38,0.747752
Severine,Severine,,f,6,10,3,0.5,0.555556,5.642857,0.101646,0.101646,1,0.031782,0,0.533333,8,0.273816
chinese man 1,chinese man 1,,m,4,6,3,0.473684,0.518519,0,0.067587,0.067587,1,0.022592,0,1,6,0.186215
chinese man 2,chinese man 2,,m,4,6,3,0.473684,0.518519,0,0.067587,0.067587,1,0.022592,0,1,6,0.186215
chinese man 3,chinese man 3,,m,5,7,3,0.493151,0.541667,2.400433,0.096711,0.096711,1,0.026693,0,0.7,7,0.258822
Dowar,Dowar,,f,9,22,3,0.545455,0.611111,3.681818,0.268941,0.268941,2,0.039029,0,0.888889,32,0.671071
James Bond,James Bond,,m,28,89,2,0.818182,0.888889,420.061688,0.386135,0.386134,2,0.154618,0,0.134921,51,1
Mallory,Mallory,,m,10,29,3,0.5625,0.62963,6.348485,0.284876,0.284876,2,0.043422,0,0.8,36,0.711297
Silva,Silva,,m,13,22,3,0.580645,0.666667,54.811688,0.299139,0.299139,0,0.059445,0,0.461538,36,0.754023
Silva's men in police form,Silva's men in police form,,n,8,8,3,0.537313,0.597222,0,0.254609,0.25461,2,0.035112,0,1,28,0.636347
ministers,ministers,,n,9,19,3,0.545455,0.611111,3.681818,0.268941,0.268941,2,0.039029,0,0.888889,32,0.671071
Patrice,Patrice,,m,4,5,3,0.5,0.537037,69,0.07375,0.07375,3,0.030521,0,0.166667,1,0.193421
Kincade,Kincade,,,4,16,3,0.507042,0.541667,0,0.119183,0.119183,0,0.020872,0,1,6,0.305667
Silva's men,Silva's men,,m,5,8,3,0.514286,0.555556,2.916667,0.125149,0.125149,0,0.025908,0,0.7,7,0.322791
barman,barman,,m,1,1,3,0.455696,0.476852,0,0.040022,0.040022,2,0.008746,0,0,0,0.106423
capitan,capitan,,m,3,4,3,0.467532,0.50463,0.333333,0.063529,0.063529,0,0.017654,0,0.666667,2,0.170898
men,men,,m,1,1,3,0.455696,0.476852,0,0.040022,0.040022,2,0.008746,0,0,0,0.106423
woman,woman,,f,1,1,3,0.455696,0.476852,0,0.040022,0.040022,2,0.008746,0,0,0,0.106423
chinese guard,chinese guard,,m,1,1,4,0.336449,0.356481,0,0.007644,0.007644,3,0.010545,0,0,0,0.021537
man in yellow,man in yellow,,m,1,1,4,0.336449,0.356481,0,0.007644,0.007644,3,0.010545,0,0,0,0.021537
policeman,policeman,,m,1,1,4,0.371134,0.400463,0,0.031005,0.031005,0,0.00794,0,0,0,0.077557
inquiry board member 1,inquiry board member 1,,m,5,5,3,0.423529,0.486111,0,0.152604,0.152604,2,0.022788,0,1,10,0.375982
Vanessa,Vanessa,,f,3,3,3,0.413793,0.458333,0,0.098305,0.098305,2,0.015473,0,1,3,0.243703
agent MI6,agent MI6,,m,1,1,3,0.455696,0.476852,0,0.040022,0.040022,2,0.008746,0,0,0,0.106423
doctor Hall,doctor Hall,,m,1,1,3,0.455696,0.476852,0,0.040022,0.040022,2,0.008746,0,0,0,0.106423
floor manager,floor manager,,m,1,1,3,0.455696,0.476852,0,0.040022,0.040022,2,0.008746,0,0,0,0.106423
subway worker,subway worker,,f,1,1,3,0.455696,0.476852,0,0.040022,0.040022,2,0.008746,0,0,0,0.106423
"сashier",сashier,,f,1,1,3,0.455696,0.476852,0,0.040022,0.040022,2,0.008746,0,0,0,0.106423
agent MI6 2,agent MI6 2,,m,3,3,4,0.404494,0.453704,0,0.097167,0.097167,0,0.015522,0,1,3,0.241394
guard,guard,,m,1,1,4,0.387097,0.416667,0,0.035184,0.035184,2,0.00789,0,0,0,0.087452
Q assistant,Q assistant,,m,1,1,4,0.346154,0.368056,0,0.017587,0.017587,2,0.008452,0,0,0,0.044366
husband,husband,,m,2,2,3,0.461538,0.490741,0,0.04465,0.04465,4,0.015215,0,1,1,0.120264
wife,wife,,f,2,2,3,0.461538,0.490741,0,0.04465,0.04465,4,0.015215,0,1,1,0.120264
